#name	chrom	txStart	name2
NM_001308203	chr1	66999251	SGIP1
NM_032291	chr1	66999638	SGIP1
NM_001145277	chr1	16767166	NECAP2
NM_001145278	chr1	16767166	NECAP2
NM_018090	chr1	16767166	NECAP2
NR_126031	chr1	33547778	AZIN2
NM_001323575	chr1	48998526	AGBL4
NM_001323574	chr1	48998526	AGBL4
NR_136623	chr1	48998526	AGBL4
NM_013943	chr1	25071759	CLIC4
NM_032785	chr1	48998526	AGBL4
NM_001293562	chr1	33546713	AZIN2
NM_001323573	chr1	48998526	AGBL4
NM_052998	chr1	33546713	AZIN2
NM_001080397	chr1	8378144	SLC45A1
NM_001301826	chr1	33547778	AZIN2
NM_001301825	chr1	33547778	AZIN2
NM_001301824	chr1	33546729	AZIN2
NM_001301823	chr1	33546729	AZIN2
NM_001195684	chr1	92145899	TGFBR3
NM_001195683	chr1	92145899	TGFBR3
NM_001918	chr1	100652477	DBT
NM_003243	chr1	92145899	TGFBR3
NR_036634	chr1	92145899	TGFBR3
NM_001286644	chr1	175913961	RFWD2
NM_021222	chr1	150980866	PRUNE1
NM_001303243	chr1	150980866	PRUNE1
NM_001303242	chr1	150980866	PRUNE1
NM_030806	chr1	184356149	C1orf21
NM_022457	chr1	175913961	RFWD2
NM_001303229	chr1	150980866	PRUNE1
NR_130130	chr1	150980866	PRUNE1
NR_130131	chr1	150980866	PRUNE1
NR_130132	chr1	150980866	PRUNE1
NR_130135	chr1	150980866	PRUNE1
NM_001001740	chr1	175913961	RFWD2
NM_173083	chr1	226418849	LIN9
NM_001270410	chr1	226418849	LIN9
NM_001270409	chr1	226418849	LIN9
NM_002744	chr1	1981908	PRKCZ
NM_022114	chr1	2985741	PRDM16
NM_012405	chr1	6281252	ICMT
NM_015215	chr1	6845383	CAMTA1
NM_017891	chr1	1017197	C1orf159
NM_001242874	chr1	2005424	PRKCZ
NM_001330306	chr1	1017197	C1orf159
NM_001033582	chr1	2036154	PRKCZ
NM_001033581	chr1	2005085	PRKCZ
NM_199454	chr1	2985741	PRDM16
NM_001099850	chr1	13328195	PRAMEF18
NM_001039361	chr1	13629924	PRAMEF10
NM_001291381	chr1	13629931	PRAMEF33
NR_046507	chr1	20969149	PINK1-AS
NM_001309193	chr1	23037330	EPHB2
NM_001309192	chr1	23037330	EPHB2
NM_004442	chr1	23037330	EPHB2
NR_135054	chr1	19918295	LOC105378614
NM_017449	chr1	23037330	EPHB2
NM_032409	chr1	20959947	PINK1
NM_032236	chr1	22005083	USP48
NM_001330394	chr1	22005083	USP48
NM_001145454	chr1	26210676	STMN1
NM_006600	chr1	27248212	NUDC
NM_004437	chr1	29213602	EPB41
NM_014676	chr1	31404352	PUM1
NM_203343	chr1	29213602	EPB41
NM_203342	chr1	29213602	EPB41
NR_073499	chr1	32479294	KHDRBS1
NR_073498	chr1	32479294	KHDRBS1
NM_001166007	chr1	29213602	EPB41
NM_001166006	chr1	29241087	EPB41
NM_001166005	chr1	29213602	EPB41
NM_006559	chr1	32479294	KHDRBS1
NM_001990	chr1	28296854	EYA3
NM_001271878	chr1	32479294	KHDRBS1
NM_001282562	chr1	28296854	EYA3
NM_001282561	chr1	28296854	EYA3
NM_001282560	chr1	28303783	EYA3
NM_001020658	chr1	31404352	PUM1
NR_136703	chr1	35641978	SFPQ
NM_001321473	chr1	36690012	THRAP3
NM_012090	chr1	39549838	MACF1
NR_136702	chr1	35641978	SFPQ
NM_052896	chr1	33979598	CSMD2
NM_001321471	chr1	36690012	THRAP3
NM_005066	chr1	35649200	SFPQ
NM_001281956	chr1	33979598	CSMD2
NM_005119	chr1	36690016	THRAP3
NM_018150	chr1	44870831	RNF220
NM_001319957	chr1	44889495	RNF220
NM_001194986	chr1	48226199	TRABD2B
NM_001329137	chr1	43991707	PTPRF
NM_001329139	chr1	43996530	PTPRF
NM_130440	chr1	43996530	PTPRF
NM_002840	chr1	43996530	PTPRF
NM_021639	chr1	46092975	GPBP1L1
NM_001329140	chr1	43996530	PTPRF
NM_001319956	chr1	44870831	RNF220
NM_001329138	chr1	43991707	PTPRF
NM_153035	chr1	54519244	TCEANC2
NR_130900	chr1	54519244	TCEANC2
NM_021080	chr1	57463578	DAB1
